,Position,First_Name,Surname,Team,Goals,Assists,Total_Points,Minutes,Goals_Conceded,Creativity,Influence,Threat,Bonus_Points,BPS,ICT_Index,Clean_Sheets,Red_Cards,Yellow_Cards,Selected_By_Percent,Now_cost,No_of_90s,Points_per_M_per_90
15,MID,Nicolas,Pépé,Arsenal,1,4,45,681,9,204.8,127.4,391,1,127,72,2,0,0,0.7,6.9,7.566666667,0.86190385
10,MID,Mohamed Naser,El Sayed Elneny,Arsenal,0,2,27,801,17,124.5,147.8,40,0,156,31.3,0,0,1,0.4,4.4,8.9,0.68947906
17,FWD,Edward,Nketiah,Arsenal,5,1,55,823,18,138.8,216,339,6,194,69.2,0,0,3,11.5,5.7,9.144444444,1.055189614
12,DEF,Rob,Holding,Arsenal,1,0,29,840,16,6.9,242.4,49,2,152,29.9,2,1,2,0.8,4.1,9.333333333,0.757839721
3,FWD,Pierre-Emerick,Aubameyang,Arsenal,4,1,44,1036,16,132.4,217.6,582,7,131,92.9,6,0,3,1.2,9.6,11.51111111,0.398166023
27,MID,Albert,Sambi Lokonga,Arsenal,0,0,32,1129,11,250.7,181.8,87,0,173,51.9,7,0,5,0.1,4.8,12.54444444,0.531443756
26,DEF,Nuno,Varela Tavares,Arsenal,1,1,49,1169,19,168.4,194.6,203,2,199,56.7,3,0,2,1,4.3,12.98888889,0.877315137
4,DEF,Cédric,Soares,Arsenal,1,1,48,1481,27,306.5,246,76,3,292,63,3,0,3,0.4,4.2,16.45555556,0.694511431
34,DEF,Takehiro,Tomiyasu,Arsenal,0,1,75,1680,20,240.9,312.4,110,5,344,66.4,9,0,2,1.9,4.5,18.66666667,0.892857143
5,FWD,Alexandre,Lacazette,Arsenal,4,8,90,1773,17,385.7,376.6,724,3,295,148.3,10,0,0,3.1,8.1,19.7,0.564015792
23,MID,Gabriel Teodoro,Martinelli Silva,Arsenal,6,7,110,1855,25,445.8,407.8,692,6,345,154.7,7,1,1,3.1,5.3,20.61111111,1.006967401
18,MID,Emile,Smith Rowe,Arsenal,10,2,125,1909,28,453.3,555.8,576,9,435,158.4,8,0,1,10,5.7,21.21111111,1.033883819
