	Team	City	Region	Stadium	Capacity	Latitude	Longitude	Country	
Arsenal 	Arsenal	London 	South East (England)	Emirates Stadium 	60361	51.555	-0.108611	England	
Aston Villa 	Aston Villa	Birmingham 	West Midlands (England)	Villa Park 	42785	52.509167	-1.884722	England	
Bournemouth	Bournemouth	Bournemouth	South East (England)	Vitality Stadium	"11,379"	50.737175	-1.867873	England	
Brentford	Brentford	London 	South East (England)	Brentford Community Stadium	17250	51.490715	 -0.289048	England	
Brighton & Hove Albion 	Brighton	Brighton 	South East (England)	American Express Community Stadium 	22374	50.861822	-0.083278	England	
Chelsea 	Chelsea	London 	South East (England)	Stamford Bridge 	42449	51.481667	-0.191111	England	
Crystal Palace 	Crystal Palace	London 	South East (England)	Selhurst Park 	26309	51.398333	-0.085556	England	
Everton 	Everton	Liverpool 	North West (England)	Goodison Park 	40157	53.438889	-2.966389	England	
Fulham 	Fulham	London 	South East (England)	Craven Cottage 	25700	51.475	-0.221667	England	
Leeds United 	Leeds	Leeds 	Yorkshire and The Humber	Elland Road 	39460	53.777778	-1.572222	England	
Leicester City 	Leicester	Leicester 	East Midlands (England)	King Power Stadium 	32500	52.620278	-1.142222	England	
Liverpool 	Liverpool	Liverpool 	North West (England)	Anfield 	45276	53.430819	-2.960828	England	
Manchester City 	Man City	Manchester 	North West (England)	Etihad Stadium	47405	53.482989	-2.200292	England	
Manchester United 	Man United	Manchester 	North West (England)	Old Trafford 	75811	53.463056	-2.291389	England	
Newcastle United 	Newcastle	Newcastle upon Tyne 	North East (England)	St James' Park	52409	54.975556	-1.621667	England	
Nottingham Forest 	Nott'm Forest	Nottingham 	East Midlands (England)	City Ground 	30576	52.94	-1.132778	England	
Southampton 	Southampton	Southampton 	South East (England)	St Mary's Stadium 	32689	50.905833	-1.391111	England	
Tottenham Hotspur 	Tottenham	London 	South East (England)	Tottenham Hotspur Stadium	36230	51.603333	-0.065833	England	
West Ham United 	West Ham	London 	South East (England)	London Stadium	66000	51.5387	-0.0166	England	
Wolverhampton	Wolves	Wolverhampton	West Midlands (England)	Molineux	32050	52.590382	-2.130924	England	
									
