Country,Most Popular Team,% of search queries against the other Big 4 teams
Uganda,Arsenal F.C.: (12/2/21 - 12/2/22),32
Eritrea,Arsenal F.C.: (12/2/21 - 12/2/22),42
South Sudan,Manchester United F.C.: (12/2/21 - 12/2/22),25
Liberia,Chelsea F.C.: (12/2/21 - 12/2/22),36
Sierra Leone,Manchester United F.C.: (12/2/21 - 12/2/22),34
Somalia,Liverpool F.C.: (12/2/21 - 12/2/22),29
Mauritius,Liverpool F.C.: (12/2/21 - 12/2/22),40
Nigeria,Chelsea F.C.: (12/2/21 - 12/2/22),30
Gambia,Manchester United F.C.: (12/2/21 - 12/2/22),35
Kenya,Manchester United F.C.: (12/2/21 - 12/2/22),28
Namibia,Manchester United F.C.: (12/2/21 - 12/2/22),30
Zimbabwe,Manchester United F.C.: (12/2/21 - 12/2/22),26
Falkland Islands (Islas Malvinas),Liverpool F.C.: (12/2/21 - 12/2/22),50
Egypt,Liverpool F.C.: (12/2/21 - 12/2/22),62
Malawi,Manchester United F.C.: (12/2/21 - 12/2/22),28
Eswatini,Manchester United F.C.: (12/2/21 - 12/2/22),26
Zambia,Manchester United F.C.: (12/2/21 - 12/2/22),29
Ghana,Chelsea F.C.: (12/2/21 - 12/2/22),35
Senegal,Liverpool F.C.: (12/2/21 - 12/2/22),34
Botswana,Manchester United F.C.: (12/2/21 - 12/2/22),31
Ethiopia,Manchester United F.C.: (12/2/21 - 12/2/22),28
Central African Republic,Chelsea F.C.: (12/2/21 - 12/2/22),23
Timor-Leste,Manchester United F.C.: (12/2/21 - 12/2/22),46
Brunei,Liverpool F.C.: (12/2/21 - 12/2/22),41
Haiti,Manchester United F.C.: (12/2/21 - 12/2/22),29
Isle of Man,Liverpool F.C.: (12/2/21 - 12/2/22),49
Rwanda,Arsenal F.C.: (12/2/21 - 12/2/22),28
Comoros,Manchester United F.C.: (12/2/21 - 12/2/22),33
Djibouti,Liverpool F.C.: (12/2/21 - 12/2/22),32
Seychelles,Manchester United F.C.: (12/2/21 - 12/2/22),33
Algeria,Manchester City F.C.: (12/2/21 - 12/2/22),52
Tanzania,Manchester United F.C.: (12/2/21 - 12/2/22),28
Côte d’Ivoire,Chelsea F.C.: (12/2/21 - 12/2/22),34
Tajikistan,Manchester United F.C.: (12/2/21 - 12/2/22),33
Ireland,Liverpool F.C.: (12/2/21 - 12/2/22),38
Congo - Kinshasa,Manchester City F.C.: (12/2/21 - 12/2/22),24
Solomon Islands,Manchester United F.C.: (12/2/21 - 12/2/22),36
Togo,Manchester United F.C.: (12/2/21 - 12/2/22),30
Burundi,Manchester United F.C.: (12/2/21 - 12/2/22),23
Benin,Manchester United F.C.: (12/2/21 - 12/2/22),27
South Africa,Manchester United F.C.: (12/2/21 - 12/2/22),31
Gibraltar,Liverpool F.C.: (12/2/21 - 12/2/22),37
Mali,Chelsea F.C.: (12/2/21 - 12/2/22),30
Laos,Manchester United F.C.: (12/2/21 - 12/2/22),43
Dominica,Manchester United F.C.: (12/2/21 - 12/2/22),35
Guinea,Liverpool F.C.: (12/2/21 - 12/2/22),24
Mauritania,Liverpool F.C.: (12/2/21 - 12/2/22),29
Yemen,Liverpool F.C.: (12/2/21 - 12/2/22),41
United Kingdom,Liverpool F.C.: (12/2/21 - 12/2/22),32
Niger,Manchester United F.C.: (12/2/21 - 12/2/22),25
Myanmar (Burma),Manchester United F.C.: (12/2/21 - 12/2/22),46
Congo - Brazzaville,Liverpool F.C.: (12/2/21 - 12/2/22),23
Mozambique,Manchester United F.C.: (12/2/21 - 12/2/22),27
Jamaica,Manchester United F.C.: (12/2/21 - 12/2/22),28
Bhutan,Manchester United F.C.: (12/2/21 - 12/2/22),41
Lesotho,Manchester United F.C.: (12/2/21 - 12/2/22),25
Jersey,Liverpool F.C.: (12/2/21 - 12/2/22),34
St. Lucia,Manchester United F.C.: (12/2/21 - 12/2/22),29
Cameroon,Manchester United F.C.: (12/2/21 - 12/2/22),26
Equatorial Guinea,Chelsea F.C.: (12/2/21 - 12/2/22),27
Malta,Liverpool F.C.: (12/2/21 - 12/2/22),36
Malaysia,Manchester United F.C.: (12/2/21 - 12/2/22),35
Libya,Liverpool F.C.: (12/2/21 - 12/2/22),36
Burkina Faso,Manchester United F.C.: (12/2/21 - 12/2/22),29
Thailand,Liverpool F.C.: (12/2/21 - 12/2/22),37
Gabon,Manchester United F.C.: (12/2/21 - 12/2/22),25
Antigua & Barbuda,Manchester United F.C.: (12/2/21 - 12/2/22),33
Chad,Liverpool F.C.: (12/2/21 - 12/2/22),27
Turkmenistan,Manchester United F.C.: (12/2/21 - 12/2/22),30
Indonesia,Manchester United F.C.: (12/2/21 - 12/2/22),38
Faroe Islands,Liverpool F.C.: (12/2/21 - 12/2/22),40
Fiji,Manchester United F.C.: (12/2/21 - 12/2/22),40
Bermuda,Manchester United F.C.: (12/2/21 - 12/2/22),27
Guinea-Bissau,Manchester United F.C.: (12/2/21 - 12/2/22),24
Sudan,Liverpool F.C.: (12/2/21 - 12/2/22),31
Maldives,Manchester United F.C.: (12/2/21 - 12/2/22),35
Vanuatu,Manchester United F.C.: (12/2/21 - 12/2/22),35
Guernsey,Manchester United F.C.: (12/2/21 - 12/2/22),29
Angola,Manchester United F.C.: (12/2/21 - 12/2/22),24
Syria,Liverpool F.C.: (12/2/21 - 12/2/22),37
Vietnam,Manchester United F.C.: (12/2/21 - 12/2/22),43
Singapore,Manchester United F.C.: (12/2/21 - 12/2/22),35
Nepal,Manchester United F.C.: (12/2/21 - 12/2/22),41
Jordan,Liverpool F.C.: (12/2/21 - 12/2/22),41
Kuwait,Liverpool F.C.: (12/2/21 - 12/2/22),48
Iraq,Manchester United F.C.: (12/2/21 - 12/2/22),32
Cuba,Manchester United F.C.: (12/2/21 - 12/2/22),42
Grenada,Manchester United F.C.: (12/2/21 - 12/2/22),34
Cape Verde,Manchester United F.C.: (12/2/21 - 12/2/22),29
Mayotte,Manchester United F.C.: (12/2/21 - 12/2/22),28
São Tomé & Príncipe,Liverpool F.C.: (12/2/21 - 12/2/22),30
Palestine,Liverpool F.C.: (12/2/21 - 12/2/22),35
