Item Id,quote_year,Regions,Price,Mth,Yr,Date,
640226,2001,London,425,February,2001,February 2001,
640226,2001,Rest of the UK,367,February,2001,February 2001,
640226,2001,London,497,March,2001,March 2001,
640226,2001,Rest of the UK,379,March,2001,March 2001,
640226,2001,London,497,April,2001,April 2001,
640226,2001,Rest of the UK,382,April,2001,April 2001,
640226,2001,London,459,May,2001,May 2001,
640226,2001,Rest of the UK,380,May,2001,May 2001,
640226,2001,London,455,June,2001,June 2001,
640226,2001,Rest of the UK,377,June,2001,June 2001,
640226,2001,London,461,July,2001,July 2001,
640226,2001,Rest of the UK,371,July,2001,July 2001,
640226,2001,London,461,August,2001,August 2001,
640226,2001,Rest of the UK,372,August,2001,August 2001,
640226,2001,London,465,September,2001,September 2001,
640226,2001,Rest of the UK,372,September,2001,September 2001,
640226,2001,London,465,October,2001,October 2001,
640226,2001,Rest of the UK,375,October,2001,October 2001,
640226,2001,London,465,November,2001,November 2001,
640226,2001,Rest of the UK,380,November,2001,November 2001,
640226,2001,London,467,December,2001,December 2001,
640226,2001,Rest of the UK,384,December,2001,December 2001,
640226,2002,London,459,January,2002,January 2002,
640226,2002,Rest of the UK,380,January,2002,January 2002,
640226,2002,London,453,February,2002,February 2002,
640226,2002,Rest of the UK,348,February,2002,February 2002,
640226,2002,London,465,March,2002,March 2002,
640226,2002,Rest of the UK,347,March,2002,March 2002,
640226,2002,London,462,April,2002,April 2002,
640226,2002,Rest of the UK,352,April,2002,April 2002,
640226,2002,London,462,May,2002,May 2002,
640226,2002,Rest of the UK,349,May,2002,May 2002,
640226,2002,London,459,June,2002,June 2002,
640226,2002,Rest of the UK,350,June,2002,June 2002,
640226,2002,London,465,July,2002,July 2002,
640226,2002,Rest of the UK,351,July,2002,July 2002,
640226,2002,London,465,August,2002,August 2002,
640226,2002,Rest of the UK,354,August,2002,August 2002,
640226,2002,London,472,September,2002,September 2002,
640226,2002,Rest of the UK,355,September,2002,September 2002,
640226,2002,London,476,October,2002,October 2002,
640226,2002,Rest of the UK,354,October,2002,October 2002,
640226,2002,London,476,November,2002,November 2002,
640226,2002,Rest of the UK,353,November,2002,November 2002,
640226,2002,London,483,December,2002,December 2002,
640226,2002,Rest of the UK,354,December,2002,December 2002,
640226,2003,London,479,January,2003,January 2003,
640226,2003,Rest of the UK,354,January,2003,January 2003,
640226,2003,London,551,February,2003,February 2003,
640226,2003,Rest of the UK,351,February,2003,February 2003,
640226,2003,London,581,March,2003,March 2003,
640226,2003,Rest of the UK,340,March,2003,March 2003,
640226,2003,London,576,April,2003,April 2003,
640226,2003,Rest of the UK,347,April,2003,April 2003,
640226,2003,London,576,May,2003,May 2003,
640226,2003,Rest of the UK,348,May,2003,May 2003,
640226,2003,London,578,June,2003,June 2003,
640226,2003,Rest of the UK,347,June,2003,June 2003,
640226,2003,London,579,July,2003,July 2003,
640226,2003,Rest of the UK,353,July,2003,July 2003,
640226,2003,London,579,August,2003,August 2003,
640226,2003,Rest of the UK,353,August,2003,August 2003,
640226,2003,London,580,September,2003,September 2003,
640226,2003,Rest of the UK,352,September,2003,September 2003,
640226,2003,London,580,October,2003,October 2003,
640226,2003,Rest of the UK,351,October,2003,October 2003,
640226,2003,London,582,November,2003,November 2003,
640226,2003,Rest of the UK,353,November,2003,November 2003,
640226,2003,London,581,December,2003,December 2003,
640226,2003,Rest of the UK,354,December,2003,December 2003,
640226,2004,London,587,January,2004,January 2004,
640226,2004,Rest of the UK,354,January,2004,January 2004,
640226,2004,London,491,February,2004,February 2004,
640226,2004,Rest of the UK,342,February,2004,February 2004,
640226,2004,London,492,March,2004,March 2004,
640226,2004,Rest of the UK,341,March,2004,March 2004,
640226,2004,London,492,April,2004,April 2004,
640226,2004,Rest of the UK,342,April,2004,April 2004,
640226,2004,London,502,May,2004,May 2004,
640226,2004,Rest of the UK,342,May,2004,May 2004,
640226,2004,London,502,June,2004,June 2004,
640226,2004,Rest of the UK,345,June,2004,June 2004,
640226,2004,London,500,July,2004,July 2004,
640226,2004,Rest of the UK,346,July,2004,July 2004,
640226,2004,London,500,August,2004,August 2004,
640226,2004,Rest of the UK,345,August,2004,August 2004,
640226,2004,London,500,September,2004,September 2004,
640226,2004,Rest of the UK,342,September,2004,September 2004,
640226,2004,London,527,October,2004,October 2004,
640226,2004,Rest of the UK,340,October,2004,October 2004,
640226,2004,London,530,November,2004,November 2004,
640226,2004,Rest of the UK,344,November,2004,November 2004,
640226,2004,London,526,December,2004,December 2004,
640226,2004,Rest of the UK,346,December,2004,December 2004,
640226,2005,London,537,January,2005,January 2005,
640226,2005,Rest of the UK,358,January,2005,January 2005,
640226,2005,London,502,February,2005,February 2005,
640226,2005,Rest of the UK,369,February,2005,February 2005,
640226,2005,London,502,March,2005,March 2005,
640226,2005,Rest of the UK,369,March,2005,March 2005,
640226,2005,London,489,April,2005,April 2005,
640226,2005,Rest of the UK,376,April,2005,April 2005,
640226,2005,London,429,May,2005,May 2005,
640226,2005,Rest of the UK,353,May,2005,May 2005,
640226,2005,London,492,June,2005,June 2005,
640226,2005,Rest of the UK,376,June,2005,June 2005,
640226,2005,London,494,July,2005,July 2005,
640226,2005,Rest of the UK,378,July,2005,July 2005,
640226,2005,London,494,August,2005,August 2005,
640226,2005,Rest of the UK,379,August,2005,August 2005,
640226,2005,London,495,September,2005,September 2005,
640226,2005,Rest of the UK,381,September,2005,September 2005,
640226,2005,London,496,October,2005,October 2005,
640226,2005,Rest of the UK,384,October,2005,October 2005,
640226,2005,London,498,November,2005,November 2005,
640226,2005,Rest of the UK,385,November,2005,November 2005,
640226,2005,London,510,December,2005,December 2005,
640226,2005,Rest of the UK,387,December,2005,December 2005,
640226,2006,London,508,January,2006,January 2006,
640226,2006,Rest of the UK,385,January,2006,January 2006,
640226,2006,London,505,February,2006,February 2006,
640226,2006,Rest of the UK,385,February,2006,February 2006,
640226,2006,London,500,March,2006,March 2006,
640226,2006,Rest of the UK,386,March,2006,March 2006,
640226,2006,London,500,April,2006,April 2006,
640226,2006,Rest of the UK,387,April,2006,April 2006,
640226,2006,London,501,May,2006,May 2006,
640226,2006,Rest of the UK,389,May,2006,May 2006,
640226,2006,London,502,June,2006,June 2006,
640226,2006,Rest of the UK,389,June,2006,June 2006,
640226,2006,London,461,August,2006,August 2006,
640226,2006,Rest of the UK,387,August,2006,August 2006,
640226,2006,London,544,September,2006,September 2006,
640226,2006,Rest of the UK,387,September,2006,September 2006,
640226,2006,London,544,October,2006,October 2006,
640226,2006,Rest of the UK,386,October,2006,October 2006,
640226,2006,London,544,November,2006,November 2006,
640226,2006,Rest of the UK,384,November,2006,November 2006,
640226,2006,London,544,December,2006,December 2006,
640226,2006,Rest of the UK,383,December,2006,December 2006,
640226,2007,London,537,January,2007,January 2007,
640226,2007,Rest of the UK,392,January,2007,January 2007,
640226,2007,London,602,February,2007,February 2007,
640226,2007,Rest of the UK,391,February,2007,February 2007,
640226,2007,London,598,March,2007,March 2007,
640226,2007,Rest of the UK,395,March,2007,March 2007,
640226,2007,London,566,April,2007,April 2007,
640226,2007,Rest of the UK,399,April,2007,April 2007,
640226,2007,London,572,May,2007,May 2007,
640226,2007,Rest of the UK,403,May,2007,May 2007,
640226,2007,London,572,June,2007,June 2007,
640226,2007,Rest of the UK,401,June,2007,June 2007,
640226,2007,London,572,July,2007,July 2007,
640226,2007,Rest of the UK,400,July,2007,July 2007,
640226,2007,London,622,August,2007,August 2007,
640226,2007,Rest of the UK,396,August,2007,August 2007,
640226,2007,London,622,September,2007,September 2007,
640226,2007,Rest of the UK,398,September,2007,September 2007,
640226,2007,London,624,October,2007,October 2007,
640226,2007,Rest of the UK,395,October,2007,October 2007,
640226,2007,London,645,November,2007,November 2007,
640226,2007,Rest of the UK,399,November,2007,November 2007,
640226,2007,London,645,December,2007,December 2007,
640226,2007,Rest of the UK,400,December,2007,December 2007,
640226,2008,London,648,January,2008,January 2008,
640226,2008,Rest of the UK,401,January,2008,January 2008,
640226,2008,London,654,February,2008,February 2008,
640226,2008,Rest of the UK,402,February,2008,February 2008,
640226,2008,London,649,March,2008,March 2008,
640226,2008,Rest of the UK,403,March,2008,March 2008,
640226,2008,London,609,April,2008,April 2008,
640226,2008,Rest of the UK,402,April,2008,April 2008,
640226,2008,London,626,May,2008,May 2008,
640226,2008,Rest of the UK,397,May,2008,May 2008,
