,season_id,club,5year_spend,pl_seasonfinish,cluster_clubs
0,2018,AFC Bournemouth,226.52,14,1
1,2019,AFC Bournemouth,276.61,18,1
2,2022,AFC Bournemouth,186.05,14,1
3,2018,Arsenal FC,491.48,5,0
4,2019,Arsenal FC,533.3,8,0
5,2020,Arsenal FC,592.8,8,0
6,2021,Arsenal FC,647.2,5,0
7,2022,Arsenal FC,626.41,1,0
8,2019,Aston Villa,333.45,17,3
9,2020,Aston Villa,368.25,11,3
10,2021,Aston Villa,412.57,14,3
11,2022,Aston Villa,479.77,12,0
12,2021,Brentford FC,96.52,13,1
13,2022,Brentford FC,135.7,10,1
14,2018,Brighton & Hove Albion,179.64,17,1
15,2019,Brighton & Hove Albion,237.58,15,1
16,2020,Brighton & Hove Albion,252.61,16,1
17,2021,Brighton & Hove Albion,318.86,9,3
18,2022,Brighton & Hove Albion,298.09,7,3
19,2018,Chelsea FC,836.3,3,2
20,2019,Chelsea FC,743.6,4,2
21,2020,Chelsea FC,894.3,4,2
22,2021,Chelsea FC,879.5,3,2
23,2022,Chelsea FC,900.99,8,2
24,2018,Crystal Palace,222.02,12,1
25,2019,Crystal Palace,198.4,14,1
26,2020,Crystal Palace,192.0,14,1
27,2021,Crystal Palace,176.42,12,1
28,2022,Crystal Palace,162.07,11,1
29,2018,Everton FC,478.06,8,0
30,2019,Everton FC,558.9,12,0
31,2020,Everton FC,583.37,10,0
32,2021,Everton FC,536.87,16,0
33,2022,Everton FC,411.87,17,3
34,2018,Fulham FC,188.32,19,1
35,2020,Fulham FC,236.47,18,1
36,2022,Fulham FC,274.15,9,1
37,2020,Leeds United,176.5,9,1
38,2021,Leeds United,226.82,17,1
39,2022,Leeds United,302.73,15,3
40,2018,Leicester City,363.31,9,3
41,2019,Leicester City,444.75,5,3
42,2020,Leicester City,454.25,5,0
43,2021,Leicester City,429.75,8,3
44,2022,Leicester City,362.9,13,3
45,2018,Liverpool FC,713.68,2,2
46,2019,Liverpool FC,572.65,1,0
47,2020,Liverpool FC,530.2,3,0
48,2021,Liverpool FC,537.3,2,0
49,2022,Liverpool FC,458.95,6,0
50,2018,Manchester City,922.36,1,2
51,2019,Manchester City,979.08,2,2
52,2020,Manchester City,944.01,1,2
53,2021,Manchester City,867.91,1,2
54,2022,Manchester City,689.91,2,2
55,2018,Manchester United,956.95,6,2
56,2019,Manchester United,856.9,3,2
57,2020,Manchester United,784.7,2,2
58,2021,Manchester United,741.7,6,2
59,2022,Manchester United,783.62,5,2
60,2018,Newcastle United,323.43,13,3
61,2019,Newcastle United,351.31,13,3
62,2020,Newcastle United,282.4,12,1
63,2021,Newcastle United,348.65,11,3
64,2022,Newcastle United,438.5,3,3
65,2022,Nottingham Forest,219.51,18,1
66,2018,Southampton FC,348.5,16,3
67,2019,Southampton FC,314.0,11,3
68,2020,Southampton FC,291.2,15,3
69,2021,Southampton FC,265.4,15,1
70,2022,Southampton FC,283.55,19,1
71,2018,Tottenham Hotspur,326.48,4,3
72,2019,Tottenham Hotspur,426.5,6,3
73,2020,Tottenham Hotspur,466.0,7,0
74,2021,Tottenham Hotspur,478.4,4,0
75,2022,Tottenham Hotspur,524.8,4,0
76,2018,West Ham United,329.05,10,3
77,2019,West Ham United,413.7,16,3
78,2020,West Ham United,415.7,6,3
79,2021,West Ham United,406.7,7,3
80,2022,West Ham United,531.9,16,0
81,2018,Wolverhampton Wanderers,186.65,7,1
82,2019,Wolverhampton Wanderers,299.5,7,3
83,2020,Wolverhampton Wanderers,377.75,13,3
84,2021,Wolverhampton Wanderers,379.25,10,3
85,2022,Wolverhampton Wanderers,491.24,20,0
