,Rank,Player,Fee(€ mln)
0,1,Neymar,222
1,2,Kylian Mbappé,180
2,3,Philippe Coutinho,145
3,4,João Félix,126
4,5,Antoine Griezmann,120
5,6,Jack Grealish,117
6,7,Paul Pogba,105
7,7,Ousmane Dembélé,105
8,9,Gareth Bale,100
9,10,Cristiano Ronaldo,100
10,11,Eden Hazard,100
11,12,Cristiano Ronaldo,94
12,13,Gonzalo Higuaín,90
13,14,Harry Maguire,87
14,15,Romelu Lukaku,85
15,16,Jadon Sancho,85
16,17,Virgil van Dijk,85
17,18,Luis Suárez,82
18,19,Kepa Arrizabalaga,80
19,20,Nicolas Pépé,80
20,21,Lucas Hernandez,80
