Year,Team,Expenditure
2014,Arsenal,118.98
2014,Aston Villa,13.45
2014,Burnley,11.11
2014,Chelsea FC,137.70
2014,Crystal Palace,31.22
2014,Everton FC,40.16
2014,Hull City,42.43
2014,Leicester City,22.86
2014,Liverpool FC,151.43
2014,Manchester City,102.80
2014,Manchester United,195.35
2014,Newcastle United,45.02
2014,Queens Park Rangers,38.32
2014,Southampton FC,96.00
2014,Stoke City,1.58
2014,Sunderland,19.82
2014,Swansea City,36.55
2014,Tottenham Hotspur,48.48
2014,West Bromwich Albion,21.89
2014,West Ham United,35.15
2015,Arsenal,26.50
2015,Aston Villa,66.55
2015,Bournemouth,55.11
2015,Chelsea FC,96.50
2015,Crystal Palace,28.80
2015,Everton FC,48.90
2015,Leicester City,49.90
2015,Liverpool FC,126.50
2015,Manchester City,208.47
2015,Manchester United,156.00
2015,Newcastle United,107.91
2015,Norwich City,44.44
2015,Southampton FC,60.10
2015,Stoke City,47.21
2015,Sunderland,58.12
2015,Swansea City,19.19
2015,Tottenham Hotspur,71.00
2015,Watford,72.86
2015,West Bromwich Albion,37.75
2015,West Ham United,52.70
2016,Arsenal,113.00
2016,Bournemouth,40.69
2016,Burnley,40.13
2016,Chelsea FC,132.80
2016,Crystal Palace,101.20
2016,Everton FC,86.00
2016,Hull City,35.20
2016,Leicester City,92.10
2016,Liverpool FC,79.90
2016,Manchester City,215.00
2016,Manchester United,185.00
2016,Middlesbrough,42.20
2016,Southampton FC,68.90
2016,Stoke City,34.13
2016,Sunderland,36.87
2016,Swansea City,51.13
2016,Tottenham Hotspur,83.50
2016,Watford,62.00
2016,West Bromwich Albion,33.35
2016,West Ham United,83.50
2017,Arsenal,152.85
2017,Bournemouth,34.30
2017,Brighton & Hove Albion,66.50
2017,Burnley,31.45
2017,Chelsea FC,260.50
2017,Crystal Palace,48.95
2017,Everton FC,203.20
2017,Huddersfield Town,49.94
2017,Leicester City,83.85
2017,Liverpool FC,173.65
2017,Manchester City,317.50
2017,Manchester United,198.40
2017,Newcastle United,46.50
2017,Southampton FC,61.25
2017,Stoke City,50.78
2017,Swansea City,64.58
2017,Tottenham Hotspur,123.50
2017,Watford,64.59
2017,West Bromwich Albion,47.08
2017,West Ham United,56.80
2018,Arsenal,80.15
2018,Bournemouth,91.60
2018,Brighton & Hove Albion,87.12
2018,Burnley,29.04
2018,Cardiff City,35.38
2018,Chelsea FC,208.80
2018,Crystal Palace,11.85
2018,Everton FC,99.80
2018,Fulham FC,116.50
2018,Huddersfield Town,44.62
2018,Leicester City,114.60
2018,Liverpool FC,182.20
2018,Manchester City,78.59
2018,Manchester United,82.70
2018,Newcastle United,59.75
2018,Southampton FC,62.25
2018,Tottenham Hotspur,0.00
2018,Watford,26.54
2018,West Ham United,100.90
2018,Wolverhampton Wanderers,112.75
2019,Arsenal,160.80
2019,Aston Villa,159.50
2019,Bournemouth,54.91
2019,Brighton & Hove Albion,61.74
2019,Burnley,20.99
2019,Chelsea FC,45.00
2019,Crystal Palace,7.60
2019,Everton FC,121.00
2019,Leicester City,104.30
2019,Liverpool FC,10.40
2019,Manchester City,159.52
2019,Manchester United,234.80
2019,Newcastle United,72.90
2019,Norwich City,7.76
2019,Sheffield United,62.04
2019,Southampton FC,61.50
2019,Tottenham Hotspur,148.50
2019,Watford,49.38
2019,West Ham United,119.80
2019,Wolverhampton Wanderers,116.70
2020,Arsenal,86.00
2020,Aston Villa,101.35
2020,Brighton & Hove Albion,28.50
2020,Burnley,0.97
2020,Chelsea FC,247.20
2020,Crystal Palace,22.40
2020,Everton FC,73.37
2020,Fulham FC,37.25
2020,Leeds United,127.80
2020,Leicester City,59.40
2020,Liverpool FC,84.05
2020,Manchester City,173.40
2020,Manchester United,83.80
2020,Newcastle United,39.00
2020,Norwich City,11.70
2020,Sheffield United,55.18
2020,Southampton FC,37.30
2020,Tottenham Hotspur,110.50
2020,West Bromwich Albion,37.08
2020,West Ham United,54.70
2020,Wolverhampton Wanderers,87.59
2021,Arsenal,167.40
2021,Aston Villa,129.82
2021,Brentford FC,36.70
2021,Brighton & Hove Albion,75.00
2021,Burnley,43.47
2021,Chelsea FC,118.00
2021,Crystal Palace,85.62
2021,Everton FC,39.50
2021,Leeds United,58.90
2021,Leicester City,67.60
2021,Liverpool FC,87.00
2021,Manchester City,138.90
2021,Manchester United,142.00
2021,Newcastle United,130.50
2021,Southampton FC,43.10
2021,Tottenham Hotspur,95.90
2021,Watford,38.36
2021,West Ham United,74.50
2021,Wolverhampton Wanderers,37.60
2022,Arsenal,132.06
2022,Aston Villa,70.00
2022,Bournemouth,26.90
2022,Brentford FC,50.50
2022,Brighton & Hove Albion,45.73
2022,Chelsea FC,281.99
2022,Crystal Palace,34.60
2022,Everton FC,78.20
2022,Fulham FC,61.40
2022,Leeds United,104.34
2022,Leicester City,17.00
2022,Liverpool FC,95.30
2022,Manchester City,139.50
2022,Manchester United,240.32
2022,Newcastle United,136.35
2022,Nottingham Forest,161.95
2022,Southampton FC,79.40
2022,Tottenham Hotspur,169.90
2022,West Ham United,182.00
2022,Wolverhampton Wanderers,136.60
