Rk,Player,Squad,Gls▼,xG
1,Son Heung-min,Tottenham,23,15.6
2,Mohamed Salah,Liverpool,23,23.7
3,Cristiano Ronaldo,Manchester Utd,18,17.9
4,Harry Kane,Tottenham,17,19.6
5,Sadio Mané,Liverpool,16,18.3
6,Kevin De Bruyne,Manchester City,15,6.2
7,Diogo Jota,Liverpool,15,16.9
8,Jamie Vardy,Leicester City,15,10.3
9,Wilfried Zaha,Crystal Palace,14,11
10,Raheem Sterling,Manchester City,13,14.4
11,Jarrod Bowen,West Ham,12,13.3
12,James Maddison,Leicester City,12,8.8
13,Ivan Toney,Brentford,12,12.4
14,Riyad Mahrez,Manchester City,11,11.1
15,Mason Mount,Chelsea,11,8.8
16,Teemu Pukki,Norwich City,11,12.7
17,Raphinha,Leeds United,11,11.3
18,Bukayo Saka,Arsenal,11,11.2
19,Ollie Watkins,Aston Villa,11,11
20,Michail Antonio,West Ham,10,12.8
21,Emmanuel Dennis,Watford,10,7.7
22,Bruno Fernandes,Manchester Utd,10,11.6
23,Richarlison,Everton,10,10
24,Emile Smith Rowe,Arsenal,10,6.5
25,James Ward-Prowse,Southampton,10,5.9
26,Maxwel Cornet,Burnley,9,6.6
27,Phil Foden,Manchester City,9,10
28,Saïd Benrahma,West Ham,8,6
29,Conor Gallagher,Crystal Palace,8,7.7
30,İlkay Gündoğan,Manchester City,8,10.3
31,Jack Harrison,Leeds United,8,4.9
32,Kai Havertz,Chelsea,8,9.5
33,Gabriel Jesus,Manchester City,8,10.8
34,Romelu Lukaku,Chelsea,8,7
35,Neal Maupay,Brighton,8,9.7
36,Bernardo Silva,Manchester City,8,7.6
37,Leandro Trossard,Brighton,8,7.6
38,Callum Wilson,Newcastle Utd,8,6.3
39,Che Adams,Southampton,7,7.7
40,Danny Ings,Aston Villa,7,7.6
41,Rodri,Manchester City,7,3
42,Yoane Wissa,Brentford,7,4.1
43,Martin Ødegaard,Arsenal,7,5.2
44,Harvey Barnes,Leicester City,6,6.5
45,Armando Broja,Southampton,6,6.1
46,Odsonne Édouard,Crystal Palace,6,7.1
47,Pablo Fornals,West Ham,6,5.2
48,Raúl Jiménez,Wolves,6,6.4
49,Jorginho,Chelsea,6,6
50,Ademola Lookman,Leicester City,6,4.9
51,Martinelli,Arsenal,6,8.3
52,Christian Pulisic,Chelsea,6,4.4
53,Jacob Ramsey,Aston Villa,6,4.5
54,Rodrigo,Leeds United,6,4.6
55,Youri Tielemans,Leicester City,6,5.2
56,Danny Welbeck,Brighton,6,7.3
57,Dominic Calvert-Lewin,Everton,5,6.5
58,Philippe Coutinho,Aston Villa,5,4.1
59,Cucho,Watford,5,2.9
60,Patson Daka,Leicester City,5,4.2
61,Gabriel Dos Santos,Arsenal,5,3.3
62,Fabinho,Liverpool,5,4
63,Roberto Firmino,Liverpool,5,5.1
64,Demarai Gray,Everton,5,5.8
65,Mason Greenwood,Manchester Utd,5,4.9
66,Bruno Guimarães,Newcastle Utd,5,3
67,Hwang Hee-chan,Wolves,5,4.6
68,Reece James,Chelsea,5,3.5
69,Joshua King,Watford,5,9.4
70,Dejan Kulusevski,Tottenham,5,3.6
71,Manuel Lanzini,West Ham,5,3.8
72,Alexis Mac Allister,Brighton,5,6.9
73,Jean-Philippe Mateta,Crystal Palace,5,6.3
74,Eddie Nketiah,Arsenal,5,4.4
75,Allan Saint-Maximin,Newcastle Utd,5,5.7
76,Ismaila Sarr,Watford,5,5.7
77,Tomáš Souček,West Ham,5,5.7
78,Marcos Alonso,Chelsea,4,3.6
79,Pierre-Emerick Aubameyang,Arsenal,4,6.6
80,Jan Bednarek,Southampton,4,2.4
81,Christian Benteke,Crystal Palace,4,5.6
82,Emi Buendía,Aston Villa,4,3.5
83,Matty Cash,Aston Villa,4,3.4
84,Conor Coady,Wolves,4,2.9
85,Luis Díaz,Liverpool,4,4.4
86,Mohamed Elyounoussi,Southampton,4,6.1
87,Fred,Manchester Utd,4,1.4
88,Anthony Gordon,Everton,4,4.8
89,Kelechi Iheanacho,Leicester City,4,3.5
90,Daniel James,Leeds United,4,6.8
91,Vitaly Janelt,Brentford,4,3
92,Joelinton,Newcastle Utd,4,4.2
93,Alexandre Lacazette,Arsenal,4,9.2
94,Aymeric Laporte,Manchester City,4,4.7
95,Bryan Mbeumo,Brentford,4,9.6
96,Rúben Neves,Wolves,4,1.7
97,Marcus Rashford,Manchester Utd,4,3.1
98,Jeffrey Schlupp,Crystal Palace,4,3.9
99,Timo Werner,Chelsea,4,7.1
100,Hakim Ziyech,Chelsea,4,4.1
101,Jordan Ayew,Crystal Palace,3,4
102,Steven Bergwijn,Tottenham,3,2.6
103,Sergi Canós,Brentford,3,3.4
104,Trevoh Chalobah,Chelsea,3,1.3
105,Ben Chilwell,Chelsea,3,1
106,Jack Grealish,Manchester City,3,5.9
107,Rico Henry,Brentford,3,1.5
108,Pontus Jansson,Brentford,3,3
109,João Pedro,Watford,3,4.7
110,Michael Keane,Everton,3,1.6
111,Naby Keïta,Liverpool,3,2.1
112,Diego Llorente,Leeds United,3,1.3
113,Joël Matip,Liverpool,3,3.5
114,John McGinn,Aston Villa,3,1.8
115,Ben Mee,Burnley,3,2.5
116,Takumi Minamino,Liverpool,3,1.7
117,Christian Nørgaard,Brentford,3,4.3
118,Divock Origi,Liverpool,3,1.4
119,Andrew Robertson,Liverpool,3,1.6
120,Antonio Rüdiger,Chelsea,3,3.1
121,Jadon Sancho,Manchester Utd,3,4
122,Thiago Silva,Chelsea,3,1.3
123,Andros Townsend,Everton,3,2.4
124,Virgil van Dijk,Liverpool,3,2.5
125,Chris Wood,Burnley,3,4.7
126,Nathan Aké,Manchester City,2,0.7
127,Trent Alexander-Arnold,Liverpool,2,2.9
128,Adam Armstrong,Southampton,2,4.9
129,Stuart Armstrong,Southampton,2,3.3
130,Luke Ayling,Leeds United,2,1.6
131,Patrick Bamford,Leeds United,2,2.9
132,Josh Brownhill,Burnley,2,1.7
133,Jonny Castro,Wolves,2,1
134,Edinson Cavani,Manchester Utd,2,3.3
135,Nathan Collins,Burnley,2,1.8
136,Aaron Cresswell,West Ham,2,1.3
137,Craig Dawson,West Ham,2,3.5
138,Leander Dendoncker,Wolves,2,2.9
139,Rúben Dias,Manchester City,2,2.7
140,Matt Doherty,Tottenham,2,2.7
141,Abdoulaye Doucouré,Everton,2,3
142,Anthony Elanga,Manchester Utd,2,2.7
143,Fernandinho,Manchester City,2,1.8
144,Ryan Fraser,Newcastle Utd,2,3.2
145,Joe Gelhardt,Leeds United,2,3.3
146,Pascal Groß,Brighton,2,3.1
147,Marc Guéhi,Crystal Palace,2,2.4
148,Jordan Henderson,Liverpool,2,1.6
149,Mason Holgate,Everton,2,1
150,Pierre Højbjerg,Tottenham,2,2.8
151,Alex Iwobi,Everton,2,2.7
152,N'Golo Kanté,Chelsea,2,2.3
153,Ezri Konsa,Aston Villa,2,1.9
154,Mateo Kovačić,Chelsea,2,2.3
155,Aaron Lennon,Burnley,2,1.3
156,Jesse Lingard,Manchester Utd,2,0.7
157,Douglas Luiz,Aston Villa,2,2
158,Lucas Moura,Tottenham,2,3.9
159,João Moutinho,Wolves,2,1.4
160,Enock Mwepu,Brighton,2,2.4
161,Michael Olise,Crystal Palace,2,2
162,Alex Oxlade-Chamberlain,Liverpool,2,1.4
163,Thomas Partey,Arsenal,2,3.3
164,Ayoze Pérez,Leicester City,2,1.5
165,Daniel Podence,Wolves,2,2.7
166,Sergio Reguilón,Tottenham,2,3.1
167,Jay Rodriguez,Burnley,2,5.6
168,Oriol Romeu,Southampton,2,1.7
169,Romain Saïss,Wolves,2,3
170,Davinson Sánchez,Tottenham,2,2.1
171,Josh Sargent,Norwich City,2,2.7
172,Fabian Schär,Newcastle Utd,2,1.5
173,Jonjo Shelvey,Newcastle Utd,2,1.4
174,Moussa Sissoko,Watford,2,3.4
175,Ferrán Torres,Manchester City,2,2.3
176,Francisco Trincão,Wolves,2,3.9
177,Kieran Trippier,Newcastle Utd,2,0.2
